dataset,position,lambda_0,lambda_1,gap,participation,basis
amazon,answer,13.39420597960293,1.326769392173842,10.095353464295123,1.836155050031806,tcPCA-8
imdb,answer,15.205502020679708,1.784355302305148,8.521566305228694,2.5742884577201086,tcPCA-8
cities,answer,32.22197372092321,4.070126271712311,7.91670124459489,2.2259739553584845,tcPCA-8
sp_en_trans,answer,6.636716155708975,1.5136778450446338,4.384497122314213,3.3619853825829384,tcPCA-8
comparisons,answer,1.7407815439331729,0.44503929390793223,3.911523246963667,3.844727891812217,tcPCA-8
ent_bank,answer,3.2122383039978666,1.9157885588960188,1.6767185966748503,4.900128312337337,tcPCA-8
snli,answer,2.6102917008967634,1.7599811797247504,1.483136144276836,6.656556923227873,tcPCA-8
rte,answer,3.3551819718756,2.2700539973321114,1.4780185739276637,6.525600628135871,tcPCA-8
copa,answer,3.6091855461099067,2.776021868664153,1.3001286433837351,6.0152490186152265,tcPCA-8
imdb,period,10.85019716702855,1.8563304325820194,5.8449707964636035,2.8705848818726407,tcPCA-8
amazon,period,3.475763824995676,0.8824570922922641,3.938734081639094,2.8504881987369757,tcPCA-8
comparisons,period,0.04227617602010533,0.01077768496856453,3.9225655735357847,4.93396834222916,tcPCA-8
sp_en_trans,period,21.423097400142478,6.553096041474557,3.269156634445101,3.473495496083123,tcPCA-8
cities,period,0.17202143754105792,0.07167485698218923,2.400024845306691,3.9543869516089263,tcPCA-8
rte,period,8.51577821362255,4.350303534299725,1.957513572669211,6.626315812993198,tcPCA-8
snli,period,4.589412942771128,2.7568403517896365,1.6647365669150391,6.51894052368556,tcPCA-8
ent_bank,period,4.579416090203833,2.869623710616998,1.595824593050638,5.667210957117553,tcPCA-8
copa,period,1.2299768605920192,0.9267327419305051,1.3272185226021225,7.843458957573646,tcPCA-8
comparisons,answer,2.0020026454400535,2.0020001908358576,1.000001226075905,9.999999999970928,GCC-8
sp_en_trans,answer,2.005681398369554,2.005680063166371,1.0000006657109513,9.999999999992218,GCC-8
cities,answer,2.002003694928456,2.0020025370022108,1.000000578384005,9.999999999991582,GCC-8
imdb,answer,2.0020036443299256,2.002002648990181,1.0000004971720418,9.999999999996843,GCC-8
amazon,answer,2.002003837513682,2.002003043839419,1.000000396440088,9.999999999993436,GCC-8
rte,answer,2.002003557182133,2.0020034305460137,1.0000000632546966,9.999999999998792,GCC-8
snli,answer,2.0020036493381372,2.0020035625422565,1.0000000433545086,9.999999999999265,GCC-8
ent_bank,answer,2.002003705345119,2.0020036356742943,1.0000000348005484,9.999999999999023,GCC-8
copa,answer,2.0040159343998156,2.0040159033077996,1.000000015514855,9.99999999999989,GCC-8
amazon,period,1.9923427659838175,1.9787695555625446,1.00685941947263,9.99618985635731,GCC-8
imdb,period,2.0004451485371617,1.997511676208195,1.0014685632949767,9.999967899555337,GCC-8
comparisons,period,2.0011293338145397,1.999528054045294,1.000800828858593,9.999993007449705,GCC-8
cities,period,2.001732123448185,2.001330867311944,1.0002004946522312,9.999995920121963,GCC-8
snli,period,2.0020036343978536,2.0020033635854575,1.0000001352706998,9.99999999999927,GCC-8
sp_en_trans,period,2.0056817180033404,2.005681453445533,1.0000001319041998,9.999999999999408,GCC-8
rte,period,2.002003624609545,2.0020034031774503,1.000000110605254,9.999999999999563,GCC-8
copa,period,2.0040157664691924,2.0040156273335947,1.0000000694283995,9.999999999999716,GCC-8
ent_bank,period,2.002003652501982,2.0020035382398382,1.000000057073897,9.999999999998899,GCC-8
