dataset,position,layer,index,eigenvalue,basis
amazon,answer,15,0,13.39420597960293,tcPCA-8
amazon,answer,15,1,1.326769392173842,tcPCA-8
amazon,answer,15,2,0.9406261763354152,tcPCA-8
amazon,answer,15,3,0.665237334071455,tcPCA-8
amazon,answer,15,4,0.5955277762313725,tcPCA-8
amazon,answer,15,5,0.32412048413529726,tcPCA-8
amazon,answer,15,6,0.3197975423031616,tcPCA-8
amazon,answer,15,7,0.2951354953803156,tcPCA-8
amazon,answer,15,8,0.2560791056417407,tcPCA-8
amazon,answer,15,9,0.22617750382086513,tcPCA-8
amazon,period,15,0,3.475763824995676,tcPCA-8
amazon,period,15,1,0.8824570922922641,tcPCA-8
amazon,period,15,2,0.6241579535712232,tcPCA-8
amazon,period,15,3,0.27872240587121855,tcPCA-8
amazon,period,15,4,0.20441492783370335,tcPCA-8
amazon,period,15,5,0.17025756420671745,tcPCA-8
amazon,period,15,6,0.16362653865432347,tcPCA-8
amazon,period,15,7,0.14505865308840898,tcPCA-8
amazon,period,15,8,0.1419716600558088,tcPCA-8
amazon,period,15,9,0.1119102065396575,tcPCA-8
cities,answer,15,0,32.22197372092321,tcPCA-8
cities,answer,15,1,4.070126271712311,tcPCA-8
cities,answer,15,2,3.2784305099024884,tcPCA-8
cities,answer,15,3,2.11081256201941,tcPCA-8
cities,answer,15,4,2.0157590895083795,tcPCA-8
cities,answer,15,5,1.3238138141784326,tcPCA-8
cities,answer,15,6,1.1593940714330677,tcPCA-8
cities,answer,15,7,1.0772326391447242,tcPCA-8
cities,answer,15,8,0.9412819912251538,tcPCA-8
cities,answer,15,9,0.8305210455417438,tcPCA-8
cities,period,15,0,0.17202143754105792,tcPCA-8
cities,period,15,1,0.07167485698218923,tcPCA-8
cities,period,15,2,0.04903748784602079,tcPCA-8
cities,period,15,3,0.030354735031304255,tcPCA-8
cities,period,15,4,0.018359787332163667,tcPCA-8
cities,period,15,5,0.015073909145821563,tcPCA-8
cities,period,15,6,0.012518955956093885,tcPCA-8
cities,period,15,7,0.008387045853978948,tcPCA-8
cities,period,15,8,0.00772620669801037,tcPCA-8
cities,period,15,9,0.0073534875891020915,tcPCA-8
comparisons,answer,15,0,1.7407815439331729,tcPCA-8
comparisons,answer,15,1,0.44503929390793223,tcPCA-8
comparisons,answer,15,2,0.26843082051643175,tcPCA-8
comparisons,answer,15,3,0.22787136886721393,tcPCA-8
comparisons,answer,15,4,0.21194029105181364,tcPCA-8
comparisons,answer,15,5,0.19436890877628207,tcPCA-8
comparisons,answer,15,6,0.1698780625641003,tcPCA-8
comparisons,answer,15,7,0.15423153396313763,tcPCA-8
comparisons,answer,15,8,0.134594411097187,tcPCA-8
comparisons,answer,15,9,0.1335574518814273,tcPCA-8
comparisons,period,15,0,0.04227617602010533,tcPCA-8
comparisons,period,15,1,0.01077768496856453,tcPCA-8
comparisons,period,15,2,0.010470406701007618,tcPCA-8
comparisons,period,15,3,0.008884167350262701,tcPCA-8
comparisons,period,15,4,0.007775344352485359,tcPCA-8
comparisons,period,15,5,0.0064774128941036836,tcPCA-8
comparisons,period,15,6,0.006387756782940852,tcPCA-8
comparisons,period,15,7,0.005060365542617835,tcPCA-8
comparisons,period,15,8,0.004253210650340641,tcPCA-8
comparisons,period,15,9,0.0040577995219218226,tcPCA-8
copa,answer,15,0,3.6091855461099067,tcPCA-8
copa,answer,15,1,2.776021868664153,tcPCA-8
copa,answer,15,2,1.266309190181461,tcPCA-8
copa,answer,15,3,1.092311064816963,tcPCA-8
copa,answer,15,4,0.8628545928754783,tcPCA-8
copa,answer,15,5,0.7698983318319415,tcPCA-8
copa,answer,15,6,0.6915889522955349,tcPCA-8
copa,answer,15,7,0.5217336344971711,tcPCA-8
copa,answer,15,8,0.48239038266897183,tcPCA-8
copa,answer,15,9,0.44503525386411885,tcPCA-8
copa,period,15,0,1.2299768605920192,tcPCA-8
copa,period,15,1,0.9267327419305051,tcPCA-8
copa,period,15,2,0.6505683920770494,tcPCA-8
copa,period,15,3,0.5684330956260202,tcPCA-8
copa,period,15,4,0.540687582505293,tcPCA-8
copa,period,15,5,0.48367988908763687,tcPCA-8
copa,period,15,6,0.4188786225837776,tcPCA-8
copa,period,15,7,0.30803330965562625,tcPCA-8
copa,period,15,8,0.2625802933945913,tcPCA-8
copa,period,15,9,0.24067102094903256,tcPCA-8
ent_bank,answer,15,0,3.2122383039978666,tcPCA-8
ent_bank,answer,15,1,1.9157885588960188,tcPCA-8
ent_bank,answer,15,2,0.9164431155746605,tcPCA-8
ent_bank,answer,15,3,0.6608046552090469,tcPCA-8
ent_bank,answer,15,4,0.5425621654173447,tcPCA-8
ent_bank,answer,15,5,0.4247675550804782,tcPCA-8
ent_bank,answer,15,6,0.39526057231403094,tcPCA-8
ent_bank,answer,15,7,0.33985451156169666,tcPCA-8
ent_bank,answer,15,8,0.24717169979443598,tcPCA-8
ent_bank,answer,15,9,0.23497495142631183,tcPCA-8
ent_bank,period,15,0,4.579416090203833,tcPCA-8
ent_bank,period,15,1,2.869623710616998,tcPCA-8
ent_bank,period,15,2,2.3355371109407077,tcPCA-8
ent_bank,period,15,3,1.2522196767681746,tcPCA-8
ent_bank,period,15,4,0.8793298203727342,tcPCA-8
ent_bank,period,15,5,0.7246165076391025,tcPCA-8
ent_bank,period,15,6,0.6494727633476515,tcPCA-8
ent_bank,period,15,7,0.6071537507505524,tcPCA-8
ent_bank,period,15,8,0.4805400027508387,tcPCA-8
ent_bank,period,15,9,0.4395024204632936,tcPCA-8
imdb,answer,15,0,15.205502020679708,tcPCA-8
imdb,answer,15,1,1.784355302305148,tcPCA-8
imdb,answer,15,2,1.5433541267654751,tcPCA-8
imdb,answer,15,3,1.4646608516340407,tcPCA-8
imdb,answer,15,4,1.3804307093150174,tcPCA-8
imdb,answer,15,5,0.9825898517238364,tcPCA-8
imdb,answer,15,6,0.817082709857939,tcPCA-8
imdb,answer,15,7,0.7435540478624586,tcPCA-8
imdb,answer,15,8,0.5859644466103952,tcPCA-8
imdb,answer,15,9,0.5365199912824232,tcPCA-8
imdb,period,15,0,10.85019716702855,tcPCA-8
imdb,period,15,1,1.8563304325820194,tcPCA-8
imdb,period,15,2,1.3407298796238831,tcPCA-8
imdb,period,15,3,1.013769578476787,tcPCA-8
imdb,period,15,4,0.9070267145908907,tcPCA-8
imdb,period,15,5,0.7576410212207134,tcPCA-8
imdb,period,15,6,0.7448366766180906,tcPCA-8
imdb,period,15,7,0.5918879650362607,tcPCA-8
imdb,period,15,8,0.5246335892755355,tcPCA-8
imdb,period,15,9,0.4928253741029444,tcPCA-8
rte,answer,15,0,3.3551819718756,tcPCA-8
rte,answer,15,1,2.2700539973321114,tcPCA-8
rte,answer,15,2,1.3215290892657132,tcPCA-8
rte,answer,15,3,1.2952663256248744,tcPCA-8
rte,answer,15,4,1.0552785046678856,tcPCA-8
rte,answer,15,5,0.9309064163501648,tcPCA-8
rte,answer,15,6,0.5723391432191842,tcPCA-8
rte,answer,15,7,0.5299170255682678,tcPCA-8
rte,answer,15,8,0.47545864697513235,tcPCA-8
rte,answer,15,9,0.3926636790956292,tcPCA-8
rte,period,15,0,8.51577821362255,tcPCA-8
rte,period,15,1,4.350303534299725,tcPCA-8
rte,period,15,2,3.326190737338269,tcPCA-8
rte,period,15,3,2.7064288456651626,tcPCA-8
rte,period,15,4,2.344189746024945,tcPCA-8
rte,period,15,5,2.1556915473218714,tcPCA-8
rte,period,15,6,1.662757354282279,tcPCA-8
rte,period,15,7,1.5426051287280336,tcPCA-8
rte,period,15,8,1.3435991730165868,tcPCA-8
rte,period,15,9,1.2236582231791056,tcPCA-8
snli,answer,15,0,2.6102917008967634,tcPCA-8
snli,answer,15,1,1.7599811797247504,tcPCA-8
snli,answer,15,2,1.225130546003364,tcPCA-8
snli,answer,15,3,1.023988224381448,tcPCA-8
snli,answer,15,4,0.8225476682268331,tcPCA-8
snli,answer,15,5,0.6596891562728295,tcPCA-8
snli,answer,15,6,0.4937653984135886,tcPCA-8
snli,answer,15,7,0.4802066061260676,tcPCA-8
snli,answer,15,8,0.40353266505263125,tcPCA-8
snli,answer,15,9,0.2717073209425755,tcPCA-8
snli,period,15,0,4.589412942771128,tcPCA-8
snli,period,15,1,2.7568403517896365,tcPCA-8
snli,period,15,2,1.619401180780304,tcPCA-8
snli,period,15,3,1.5328420521337363,tcPCA-8
snli,period,15,4,1.3322457410389514,tcPCA-8
snli,period,15,5,1.1062075114341794,tcPCA-8
snli,period,15,6,0.9240587206908172,tcPCA-8
snli,period,15,7,0.811411068456099,tcPCA-8
snli,period,15,8,0.7122258755405388,tcPCA-8
snli,period,15,9,0.5514593522140894,tcPCA-8
sp_en_trans,answer,15,0,6.636716155708975,tcPCA-8
sp_en_trans,answer,15,1,1.5136778450446338,tcPCA-8
sp_en_trans,answer,15,2,0.8726438962500422,tcPCA-8
sp_en_trans,answer,15,3,0.7949920087930611,tcPCA-8
sp_en_trans,answer,15,4,0.6789668640923792,tcPCA-8
sp_en_trans,answer,15,5,0.5343334627229691,tcPCA-8
sp_en_trans,answer,15,6,0.5022750961830491,tcPCA-8
sp_en_trans,answer,15,7,0.491948663757683,tcPCA-8
sp_en_trans,answer,15,8,0.4379469886546203,tcPCA-8
sp_en_trans,answer,15,9,0.41542084108017435,tcPCA-8
sp_en_trans,period,15,0,21.423097400142478,tcPCA-8
sp_en_trans,period,15,1,6.553096041474557,tcPCA-8
sp_en_trans,period,15,2,4.357400411751283,tcPCA-8
sp_en_trans,period,15,3,2.649697586454962,tcPCA-8
sp_en_trans,period,15,4,1.9565607250217898,tcPCA-8
sp_en_trans,period,15,5,1.717476924922825,tcPCA-8
sp_en_trans,period,15,6,1.4903761780361686,tcPCA-8
sp_en_trans,period,15,7,1.22275692868154,tcPCA-8
sp_en_trans,period,15,8,1.0803635812539336,tcPCA-8
sp_en_trans,period,15,9,0.871231443676313,tcPCA-8
amazon,answer,15,0,2.002003837513682,GCC-8
amazon,answer,15,1,2.002003043839419,GCC-8
amazon,answer,15,2,2.00200263748391,GCC-8
amazon,answer,15,3,2.0020021290393766,GCC-8
amazon,answer,15,4,2.002001872832054,GCC-8
amazon,answer,15,5,2.00200045049031,GCC-8
amazon,answer,15,6,2.00200007494128,GCC-8
amazon,answer,15,7,2.001999707223875,GCC-8
amazon,answer,15,8,2.001999394264559,GCC-8
amazon,answer,15,9,2.001998909051572,GCC-8
amazon,period,15,0,1.9923427659838175,GCC-8
amazon,period,15,1,1.9787695555625446,GCC-8
amazon,period,15,2,1.9693463484185678,GCC-8
amazon,period,15,3,1.9415822415593804,GCC-8
amazon,period,15,4,1.9220019139118072,GCC-8
amazon,period,15,5,1.9140588397636347,GCC-8
amazon,period,15,6,1.908236047513956,GCC-8
amazon,period,15,7,1.9012105502760368,GCC-8
amazon,period,15,8,1.8965584151029617,GCC-8
amazon,period,15,9,1.8707834265659093,GCC-8
cities,answer,15,0,2.002003694928456,GCC-8
cities,answer,15,1,2.0020025370022108,GCC-8
cities,answer,15,2,2.00200210347247,GCC-8
cities,answer,15,3,2.0020013251881426,GCC-8
cities,answer,15,4,2.002001174394587,GCC-8
cities,answer,15,5,2.001999611042692,GCC-8
cities,answer,15,6,2.001999370560568,GCC-8
cities,answer,15,7,2.0019988898580383,GCC-8
cities,answer,15,8,2.0019983606654557,GCC-8
cities,answer,15,9,2.0019979582899428,GCC-8
cities,period,15,0,2.001732123448185,GCC-8
cities,period,15,1,2.001330867311944,GCC-8
cities,period,15,2,2.000955803357317,GCC-8
cities,period,15,3,2.0003320666461195,GCC-8
cities,period,15,4,2.00003932591331,GCC-8
cities,period,15,5,1.9996456629910282,GCC-8
cities,period,15,6,1.9991294245111857,GCC-8
cities,period,15,7,1.9984855217090935,GCC-8
