dataset,position,layer,method,seed,acc
amazon,second_to_last,8,logistic,,0.934
amazon,second_to_last,10,logistic,,0.938
amazon,second_to_last,12,logistic,,0.948
amazon,second_to_last,14,logistic,,0.95
amazon,second_to_last,15,logistic,,0.954
amazon,second_to_last,16,logistic,,0.954
amazon,second_to_last,17,logistic,,0.952
amazon,second_to_last,18,logistic,,0.954
amazon,second_to_last,20,logistic,,0.954
amazon,second_to_last,22,logistic,,0.956
amazon,second_to_last,24,logistic,,0.954
amazon,second_to_last,8,tcPCA-1,,0.928
amazon,second_to_last,10,tcPCA-1,,0.944
amazon,second_to_last,12,tcPCA-1,,0.952
amazon,second_to_last,14,tcPCA-1,,0.952
amazon,second_to_last,15,tcPCA-1,,0.956
amazon,second_to_last,16,tcPCA-1,,0.96
amazon,second_to_last,17,tcPCA-1,,0.958
amazon,second_to_last,18,tcPCA-1,,0.956
amazon,second_to_last,20,tcPCA-1,,0.954
amazon,second_to_last,22,tcPCA-1,,0.954
amazon,second_to_last,24,tcPCA-1,,0.956
amazon,second_to_last,8,GCC-1,,0.918
amazon,second_to_last,10,GCC-1,,0.944
amazon,second_to_last,12,GCC-1,,0.944
amazon,second_to_last,14,GCC-1,,0.954
amazon,second_to_last,15,GCC-1,,0.96
amazon,second_to_last,16,GCC-1,,0.958
amazon,second_to_last,17,GCC-1,,0.952
amazon,second_to_last,18,GCC-1,,0.954
amazon,second_to_last,20,GCC-1,,0.954
amazon,second_to_last,22,GCC-1,,0.954
amazon,second_to_last,24,GCC-1,,0.954
amazon,second_to_last,8,CCS,0.0,0.938
amazon,second_to_last,8,CCS,1.0,0.91
amazon,second_to_last,8,CCS,2.0,0.57
amazon,second_to_last,8,CCS,3.0,0.936
amazon,second_to_last,8,CCS,4.0,0.9
amazon,second_to_last,10,CCS,0.0,0.946
amazon,second_to_last,10,CCS,1.0,0.94
amazon,second_to_last,10,CCS,2.0,0.946
amazon,second_to_last,10,CCS,3.0,0.948
amazon,second_to_last,10,CCS,4.0,0.946
amazon,second_to_last,12,CCS,0.0,0.952
amazon,second_to_last,12,CCS,1.0,0.95
amazon,second_to_last,12,CCS,2.0,0.95
amazon,second_to_last,12,CCS,3.0,0.952
amazon,second_to_last,12,CCS,4.0,0.948
amazon,second_to_last,14,CCS,0.0,0.954
amazon,second_to_last,14,CCS,1.0,0.954
amazon,second_to_last,14,CCS,2.0,0.954
amazon,second_to_last,14,CCS,3.0,0.954
amazon,second_to_last,14,CCS,4.0,0.954
amazon,second_to_last,15,CCS,0.0,0.956
amazon,second_to_last,15,CCS,1.0,0.956
amazon,second_to_last,15,CCS,2.0,0.956
amazon,second_to_last,15,CCS,3.0,0.956
amazon,second_to_last,15,CCS,4.0,0.958
amazon,second_to_last,16,CCS,0.0,0.958
amazon,second_to_last,16,CCS,1.0,0.958
amazon,second_to_last,16,CCS,2.0,0.958
amazon,second_to_last,16,CCS,3.0,0.958
amazon,second_to_last,16,CCS,4.0,0.958
amazon,second_to_last,17,CCS,0.0,0.96
amazon,second_to_last,17,CCS,1.0,0.956
amazon,second_to_last,17,CCS,2.0,0.96
amazon,second_to_last,17,CCS,3.0,0.958
amazon,second_to_last,17,CCS,4.0,0.96
amazon,second_to_last,18,CCS,0.0,0.958
amazon,second_to_last,18,CCS,1.0,0.958
amazon,second_to_last,18,CCS,2.0,0.958
amazon,second_to_last,18,CCS,3.0,0.958
amazon,second_to_last,18,CCS,4.0,0.958
amazon,second_to_last,20,CCS,0.0,0.958
amazon,second_to_last,20,CCS,1.0,0.958
amazon,second_to_last,20,CCS,2.0,0.958
amazon,second_to_last,20,CCS,3.0,0.958
amazon,second_to_last,20,CCS,4.0,0.958
amazon,second_to_last,22,CCS,0.0,0.958
amazon,second_to_last,22,CCS,1.0,0.958
amazon,second_to_last,22,CCS,2.0,0.958
amazon,second_to_last,22,CCS,3.0,0.958
amazon,second_to_last,22,CCS,4.0,0.956
amazon,second_to_last,24,CCS,0.0,0.958
amazon,second_to_last,24,CCS,1.0,0.958
amazon,second_to_last,24,CCS,2.0,0.958
amazon,second_to_last,24,CCS,3.0,0.958
amazon,second_to_last,24,CCS,4.0,0.958
amazon,last,8,logistic,,0.916
amazon,last,10,logistic,,0.932
amazon,last,12,logistic,,0.93
amazon,last,14,logistic,,0.932
amazon,last,15,logistic,,0.936
amazon,last,16,logistic,,0.946
amazon,last,17,logistic,,0.944
amazon,last,18,logistic,,0.944
amazon,last,20,logistic,,0.944
amazon,last,22,logistic,,0.948
amazon,last,24,logistic,,0.948
amazon,last,8,tcPCA-1,,0.86
amazon,last,10,tcPCA-1,,0.908
amazon,last,12,tcPCA-1,,0.914
amazon,last,14,tcPCA-1,,0.928
amazon,last,15,tcPCA-1,,0.93
amazon,last,16,tcPCA-1,,0.932
amazon,last,17,tcPCA-1,,0.932
amazon,last,18,tcPCA-1,,0.93
amazon,last,20,tcPCA-1,,0.932
amazon,last,22,tcPCA-1,,0.934
amazon,last,24,tcPCA-1,,0.932
amazon,last,8,GCC-1,,0.742
amazon,last,10,GCC-1,,0.9
amazon,last,12,GCC-1,,0.916
amazon,last,14,GCC-1,,0.926
amazon,last,15,GCC-1,,0.934
amazon,last,16,GCC-1,,0.936
amazon,last,17,GCC-1,,0.93
amazon,last,18,GCC-1,,0.926
amazon,last,20,GCC-1,,0.926
amazon,last,22,GCC-1,,0.922
amazon,last,24,GCC-1,,0.924
amazon,last,8,CCS,0.0,0.896
amazon,last,8,CCS,1.0,0.896
amazon,last,8,CCS,2.0,0.906
amazon,last,8,CCS,3.0,0.888
amazon,last,8,CCS,4.0,0.912
amazon,last,10,CCS,0.0,0.92
amazon,last,10,CCS,1.0,0.922
amazon,last,10,CCS,2.0,0.912
amazon,last,10,CCS,3.0,0.92
amazon,last,10,CCS,4.0,0.92
amazon,last,12,CCS,0.0,0.918
amazon,last,12,CCS,1.0,0.926
amazon,last,12,CCS,2.0,0.932
amazon,last,12,CCS,3.0,0.926
amazon,last,12,CCS,4.0,0.926
amazon,last,14,CCS,0.0,0.934
amazon,last,14,CCS,1.0,0.934
amazon,last,14,CCS,2.0,0.934
amazon,last,14,CCS,3.0,0.934
amazon,last,14,CCS,4.0,0.934
amazon,last,15,CCS,0.0,0.934
amazon,last,15,CCS,1.0,0.934
amazon,last,15,CCS,2.0,0.934
amazon,last,15,CCS,3.0,0.934
amazon,last,15,CCS,4.0,0.932
amazon,last,16,CCS,0.0,0.932
amazon,last,16,CCS,1.0,0.932
amazon,last,16,CCS,2.0,0.932
amazon,last,16,CCS,3.0,0.932
amazon,last,16,CCS,4.0,0.932
amazon,last,17,CCS,0.0,0.934
amazon,last,17,CCS,1.0,0.934
amazon,last,17,CCS,2.0,0.934
amazon,last,17,CCS,3.0,0.932
amazon,last,17,CCS,4.0,0.932
amazon,last,18,CCS,0.0,0.932
amazon,last,18,CCS,1.0,0.93
amazon,last,18,CCS,2.0,0.924
amazon,last,18,CCS,3.0,0.932
amazon,last,18,CCS,4.0,0.93
amazon,last,20,CCS,0.0,0.93
amazon,last,20,CCS,1.0,0.93
amazon,last,20,CCS,2.0,0.93
amazon,last,20,CCS,3.0,0.926
amazon,last,20,CCS,4.0,0.93
amazon,last,22,CCS,0.0,0.928
amazon,last,22,CCS,1.0,0.926
amazon,last,22,CCS,2.0,0.928
amazon,last,22,CCS,3.0,0.928
amazon,last,22,CCS,4.0,0.926
amazon,last,24,CCS,0.0,0.928
amazon,last,24,CCS,1.0,0.928
amazon,last,24,CCS,2.0,0.926
amazon,last,24,CCS,3.0,0.93
amazon,last,24,CCS,4.0,0.926
cities,second_to_last,8,logistic,,1.0
cities,second_to_last,10,logistic,,0.998
cities,second_to_last,12,logistic,,1.0
cities,second_to_last,14,logistic,,1.0
cities,second_to_last,15,logistic,,1.0
cities,second_to_last,16,logistic,,1.0
cities,second_to_last,17,logistic,,1.0
cities,second_to_last,18,logistic,,1.0
cities,second_to_last,20,logistic,,1.0
cities,second_to_last,22,logistic,,1.0
cities,second_to_last,24,logistic,,1.0
cities,second_to_last,8,tcPCA-1,,0.984
cities,second_to_last,10,tcPCA-1,,0.994
cities,second_to_last,12,tcPCA-1,,0.998
cities,second_to_last,14,tcPCA-1,,0.998
cities,second_to_last,15,tcPCA-1,,0.998
cities,second_to_last,16,tcPCA-1,,0.998
cities,second_to_last,17,tcPCA-1,,0.998
cities,second_to_last,18,tcPCA-1,,0.998
cities,second_to_last,20,tcPCA-1,,0.998
cities,second_to_last,22,tcPCA-1,,0.998
cities,second_to_last,24,tcPCA-1,,0.998
cities,second_to_last,8,GCC-1,,0.988
cities,second_to_last,10,GCC-1,,0.996
cities,second_to_last,12,GCC-1,,0.996
cities,second_to_last,14,GCC-1,,0.998
cities,second_to_last,15,GCC-1,,0.998
cities,second_to_last,16,GCC-1,,0.998
cities,second_to_last,17,GCC-1,,0.998
cities,second_to_last,18,GCC-1,,0.998
cities,second_to_last,20,GCC-1,,0.998
cities,second_to_last,22,GCC-1,,1.0
cities,second_to_last,24,GCC-1,,1.0
cities,second_to_last,8,CCS,0.0,0.988
cities,second_to_last,8,CCS,1.0,0.99
cities,second_to_last,8,CCS,2.0,0.99
cities,second_to_last,8,CCS,3.0,0.99
cities,second_to_last,8,CCS,4.0,0.99
cities,second_to_last,10,CCS,0.0,0.994
cities,second_to_last,10,CCS,1.0,0.994
cities,second_to_last,10,CCS,2.0,0.994
cities,second_to_last,10,CCS,3.0,0.994
cities,second_to_last,10,CCS,4.0,0.994
cities,second_to_last,12,CCS,0.0,1.0
cities,second_to_last,12,CCS,1.0,1.0
cities,second_to_last,12,CCS,2.0,1.0
cities,second_to_last,12,CCS,3.0,1.0
cities,second_to_last,12,CCS,4.0,1.0
cities,second_to_last,14,CCS,0.0,0.998
cities,second_to_last,14,CCS,1.0,0.998
cities,second_to_last,14,CCS,2.0,0.998
cities,second_to_last,14,CCS,3.0,1.0
cities,second_to_last,14,CCS,4.0,1.0
cities,second_to_last,15,CCS,0.0,0.998
cities,second_to_last,15,CCS,1.0,0.998
cities,second_to_last,15,CCS,2.0,0.998
cities,second_to_last,15,CCS,3.0,0.998
cities,second_to_last,15,CCS,4.0,1.0
cities,second_to_last,16,CCS,0.0,0.996
cities,second_to_last,16,CCS,1.0,0.996
cities,second_to_last,16,CCS,2.0,0.996
cities,second_to_last,16,CCS,3.0,0.996
cities,second_to_last,16,CCS,4.0,1.0
cities,second_to_last,17,CCS,0.0,0.996
cities,second_to_last,17,CCS,1.0,0.996
cities,second_to_last,17,CCS,2.0,0.996
cities,second_to_last,17,CCS,3.0,0.996
cities,second_to_last,17,CCS,4.0,0.996
cities,second_to_last,18,CCS,0.0,0.996
cities,second_to_last,18,CCS,1.0,0.996
cities,second_to_last,18,CCS,2.0,0.996
cities,second_to_last,18,CCS,3.0,0.996
cities,second_to_last,18,CCS,4.0,0.996
cities,second_to_last,20,CCS,0.0,0.998
cities,second_to_last,20,CCS,1.0,0.998
cities,second_to_last,20,CCS,2.0,0.998
cities,second_to_last,20,CCS,3.0,0.996
cities,second_to_last,20,CCS,4.0,0.998
cities,second_to_last,22,CCS,0.0,0.998
cities,second_to_last,22,CCS,1.0,0.996
cities,second_to_last,22,CCS,2.0,0.998
cities,second_to_last,22,CCS,3.0,0.996
cities,second_to_last,22,CCS,4.0,0.998
cities,second_to_last,24,CCS,0.0,0.946
cities,second_to_last,24,CCS,1.0,1.0
cities,second_to_last,24,CCS,2.0,0.998
cities,second_to_last,24,CCS,3.0,0.996
cities,second_to_last,24,CCS,4.0,0.998
cities,last,8,logistic,,0.782
cities,last,10,logistic,,0.984
cities,last,12,logistic,,0.998
cities,last,14,logistic,,1.0
cities,last,15,logistic,,1.0
cities,last,16,logistic,,1.0
cities,last,17,logistic,,1.0
cities,last,18,logistic,,1.0
cities,last,20,logistic,,1.0
cities,last,22,logistic,,1.0
cities,last,24,logistic,,1.0
cities,last,8,tcPCA-1,,0.484
cities,last,10,tcPCA-1,,0.486
cities,last,12,tcPCA-1,,0.944
cities,last,14,tcPCA-1,,0.99
cities,last,15,tcPCA-1,,0.994
cities,last,16,tcPCA-1,,0.99
cities,last,17,tcPCA-1,,0.992
cities,last,18,tcPCA-1,,0.992
cities,last,20,tcPCA-1,,0.992
cities,last,22,tcPCA-1,,0.996
cities,last,24,tcPCA-1,,0.994
cities,last,8,GCC-1,,0.688
cities,last,10,GCC-1,,0.784
cities,last,12,GCC-1,,0.974
cities,last,14,GCC-1,,0.994
cities,last,15,GCC-1,,0.998
cities,last,16,GCC-1,,0.998
cities,last,17,GCC-1,,1.0
cities,last,18,GCC-1,,0.998
cities,last,20,GCC-1,,0.998
cities,last,22,GCC-1,,0.998
cities,last,24,GCC-1,,0.996
cities,last,8,CCS,0.0,0.7
cities,last,8,CCS,1.0,0.7
cities,last,8,CCS,2.0,0.696
cities,last,8,CCS,3.0,0.696
cities,last,8,CCS,4.0,0.698
cities,last,10,CCS,0.0,0.782
cities,last,10,CCS,1.0,0.784
cities,last,10,CCS,2.0,0.784
cities,last,10,CCS,3.0,0.782
cities,last,10,CCS,4.0,0.78
cities,last,12,CCS,0.0,0.998
cities,last,12,CCS,1.0,0.998
cities,last,12,CCS,2.0,0.998
cities,last,12,CCS,3.0,0.998
cities,last,12,CCS,4.0,0.998
cities,last,14,CCS,0.0,1.0
cities,last,14,CCS,1.0,1.0
