figure,basis,layer,accuracy,cyclic
days_of_week,tcPCA,8,0.9365079365079365,1.0
days_of_week,tcPCA,10,0.873015873015873,1.0
days_of_week,tcPCA,12,0.873015873015873,1.0
days_of_week,tcPCA,14,0.9841269841269841,1.0
days_of_week,tcPCA,15,0.9682539682539683,1.0
days_of_week,tcPCA,16,0.8888888888888888,1.0
days_of_week,tcPCA,17,0.9841269841269841,1.0
days_of_week,tcPCA,18,0.9841269841269841,1.0
days_of_week,tcPCA,20,1.0,1.0
days_of_week,tcPCA,22,1.0,1.0
days_of_week,tcPCA,24,0.9365079365079365,1.0
days_of_week,g-tcPCA,8,1.0,1.0
days_of_week,g-tcPCA,10,1.0,1.0
days_of_week,g-tcPCA,12,1.0,1.0
days_of_week,g-tcPCA,14,1.0,1.0
days_of_week,g-tcPCA,15,1.0,1.0
days_of_week,g-tcPCA,16,1.0,1.0
days_of_week,g-tcPCA,17,1.0,1.0
days_of_week,g-tcPCA,18,1.0,1.0
days_of_week,g-tcPCA,20,1.0,1.0
days_of_week,g-tcPCA,22,1.0,1.0
days_of_week,g-tcPCA,24,1.0,1.0
months_of_year,tcPCA,8,0.8080495356037152,1.0
months_of_year,tcPCA,10,0.8235294117647058,1.0
months_of_year,tcPCA,12,0.8328173374613003,0.0
months_of_year,tcPCA,14,0.9287925696594427,0.0
months_of_year,tcPCA,15,0.8204334365325078,0.0
months_of_year,tcPCA,16,0.8978328173374613,1.0
months_of_year,tcPCA,17,0.9226006191950464,0.0
months_of_year,tcPCA,18,0.9566563467492261,1.0
months_of_year,tcPCA,20,0.9628482972136223,0.0
months_of_year,tcPCA,22,0.9597523219814241,0.0
months_of_year,tcPCA,24,0.9535603715170279,0.0
months_of_year,g-tcPCA,8,1.0,1.0
months_of_year,g-tcPCA,10,1.0,1.0
months_of_year,g-tcPCA,12,1.0,1.0
months_of_year,g-tcPCA,14,1.0,0.0
months_of_year,g-tcPCA,15,1.0,1.0
months_of_year,g-tcPCA,16,0.9102167182662538,0.0
months_of_year,g-tcPCA,17,1.0,0.0
months_of_year,g-tcPCA,18,1.0,0.0
months_of_year,g-tcPCA,20,1.0,0.0
months_of_year,g-tcPCA,22,1.0,0.0
months_of_year,g-tcPCA,24,1.0,1.0
trinary,tcPCA,8,0.7833333333333333,
trinary,tcPCA,10,0.8333333333333334,
trinary,tcPCA,12,0.86,
trinary,tcPCA,14,0.8733333333333333,
trinary,tcPCA,15,0.8833333333333333,
trinary,tcPCA,16,0.88,
trinary,tcPCA,17,0.8633333333333333,
trinary,tcPCA,18,0.8533333333333334,
trinary,tcPCA,20,0.8533333333333334,
trinary,tcPCA,22,0.9066666666666666,
trinary,tcPCA,24,0.8866666666666667,
trinary,g-tcPCA,8,0.8666666666666667,
trinary,g-tcPCA,10,0.9133333333333333,
trinary,g-tcPCA,12,0.9466666666666667,
trinary,g-tcPCA,14,0.95,
trinary,g-tcPCA,15,0.9566666666666667,
trinary,g-tcPCA,16,0.9666666666666667,
trinary,g-tcPCA,17,0.9666666666666667,
trinary,g-tcPCA,18,0.9566666666666667,
trinary,g-tcPCA,20,0.9433333333333334,
trinary,g-tcPCA,22,0.9466666666666667,
trinary,g-tcPCA,24,0.9433333333333334,
