dataset,position,seed,acc
amazon,answer,0,0.95
amazon,answer,1,0.952
amazon,answer,2,0.952
amazon,answer,3,0.95
amazon,answer,4,0.952
amazon,answer,5,0.952
amazon,answer,6,0.952
amazon,answer,7,0.952
amazon,answer,8,0.952
amazon,answer,9,0.952
amazon,answer,10,0.954
amazon,answer,11,0.952
amazon,answer,12,0.952
amazon,answer,13,0.952
amazon,answer,14,0.952
amazon,answer,15,0.952
amazon,answer,16,0.952
amazon,answer,17,0.952
amazon,answer,18,0.952
amazon,answer,19,0.952
amazon,answer,20,0.952
amazon,answer,21,0.952
amazon,answer,22,0.954
amazon,answer,23,0.952
amazon,answer,24,0.952
amazon,answer,25,0.952
amazon,answer,26,0.952
amazon,answer,27,0.952
amazon,answer,28,0.952
amazon,answer,29,0.954
amazon,period,0,0.952
amazon,period,1,0.952
amazon,period,2,0.952
amazon,period,3,0.952
amazon,period,4,0.95
amazon,period,5,0.95
amazon,period,6,0.95
amazon,period,7,0.952
amazon,period,8,0.952
amazon,period,9,0.948
amazon,period,10,0.952
amazon,period,11,0.952
amazon,period,12,0.952
amazon,period,13,0.95
amazon,period,14,0.952
amazon,period,15,0.952
amazon,period,16,0.952
amazon,period,17,0.95
amazon,period,18,0.95
amazon,period,19,0.952
amazon,period,20,0.952
amazon,period,21,0.95
amazon,period,22,0.952
amazon,period,23,0.948
amazon,period,24,0.95
amazon,period,25,0.952
amazon,period,26,0.95
amazon,period,27,0.952
amazon,period,28,0.952
amazon,period,29,0.952
cities,answer,0,1.0
cities,answer,1,1.0
cities,answer,2,1.0
cities,answer,3,1.0
cities,answer,4,1.0
cities,answer,5,1.0
cities,answer,6,1.0
cities,answer,7,1.0
cities,answer,8,1.0
cities,answer,9,1.0
cities,answer,10,1.0
cities,answer,11,1.0
cities,answer,12,1.0
cities,answer,13,1.0
cities,answer,14,1.0
cities,answer,15,1.0
cities,answer,16,1.0
cities,answer,17,1.0
cities,answer,18,1.0
cities,answer,19,1.0
cities,answer,20,1.0
cities,answer,21,1.0
cities,answer,22,1.0
cities,answer,23,1.0
cities,answer,24,1.0
cities,answer,25,1.0
cities,answer,26,1.0
cities,answer,27,1.0
cities,answer,28,1.0
cities,answer,29,1.0
cities,period,0,0.998
cities,period,1,0.998
cities,period,2,0.998
cities,period,3,0.998
cities,period,4,0.998
cities,period,5,0.998
cities,period,6,0.998
cities,period,7,0.998
cities,period,8,0.998
cities,period,9,0.998
cities,period,10,0.998
cities,period,11,0.998
cities,period,12,0.998
cities,period,13,0.998
cities,period,14,0.998
cities,period,15,0.998
cities,period,16,0.998
cities,period,17,0.998
cities,period,18,0.998
cities,period,19,0.998
cities,period,20,0.998
cities,period,21,0.998
cities,period,22,0.998
cities,period,23,0.998
cities,period,24,0.998
cities,period,25,0.998
cities,period,26,0.998
cities,period,27,0.998
cities,period,28,0.998
cities,period,29,0.998
comparisons,answer,0,1.0
comparisons,answer,1,1.0
comparisons,answer,2,1.0
comparisons,answer,3,1.0
comparisons,answer,4,1.0
comparisons,answer,5,1.0
comparisons,answer,6,1.0
comparisons,answer,7,1.0
comparisons,answer,8,1.0
comparisons,answer,9,1.0
comparisons,answer,10,1.0
comparisons,answer,11,1.0
comparisons,answer,12,1.0
comparisons,answer,13,1.0
comparisons,answer,14,1.0
comparisons,answer,15,1.0
comparisons,answer,16,1.0
comparisons,answer,17,1.0
comparisons,answer,18,1.0
comparisons,answer,19,1.0
comparisons,answer,20,1.0
comparisons,answer,21,1.0
comparisons,answer,22,1.0
comparisons,answer,23,1.0
comparisons,answer,24,1.0
comparisons,answer,25,1.0
comparisons,answer,26,1.0
comparisons,answer,27,1.0
comparisons,answer,28,1.0
comparisons,answer,29,1.0
comparisons,period,0,1.0
comparisons,period,1,1.0
comparisons,period,2,1.0
comparisons,period,3,1.0
comparisons,period,4,1.0
comparisons,period,5,1.0
comparisons,period,6,1.0
comparisons,period,7,1.0
comparisons,period,8,1.0
comparisons,period,9,1.0
comparisons,period,10,1.0
comparisons,period,11,1.0
comparisons,period,12,1.0
comparisons,period,13,1.0
comparisons,period,14,1.0
comparisons,period,15,1.0
comparisons,period,16,1.0
comparisons,period,17,1.0
comparisons,period,18,1.0
comparisons,period,19,1.0
comparisons,period,20,1.0
comparisons,period,21,1.0
comparisons,period,22,1.0
comparisons,period,23,1.0
comparisons,period,24,1.0
comparisons,period,25,1.0
comparisons,period,26,1.0
comparisons,period,27,1.0
comparisons,period,28,1.0
comparisons,period,29,1.0
copa,answer,0,0.804
copa,answer,1,0.792
copa,answer,2,0.616
copa,answer,3,0.808
copa,answer,4,0.564
copa,answer,5,0.656
copa,answer,6,0.832
copa,answer,7,0.796
copa,answer,8,0.692
copa,answer,9,0.636
copa,answer,10,0.688
copa,answer,11,0.664
copa,answer,12,0.636
copa,answer,13,0.804
copa,answer,14,0.8
copa,answer,15,0.588
copa,answer,16,0.748
copa,answer,17,0.684
copa,answer,18,0.644
copa,answer,19,0.808
copa,answer,20,0.76
copa,answer,21,0.764
copa,answer,22,0.832
copa,answer,23,0.64
copa,answer,24,0.636
copa,answer,25,0.728
copa,answer,26,0.812
copa,answer,27,0.712
copa,answer,28,0.66
copa,answer,29,0.74
copa,period,0,0.508
copa,period,1,0.48
copa,period,2,0.512
copa,period,3,0.504
copa,period,4,0.496
copa,period,5,0.504
copa,period,6,0.48
copa,period,7,0.532
copa,period,8,0.52
copa,period,9,0.512
copa,period,10,0.48
copa,period,11,0.496
copa,period,12,0.536
copa,period,13,0.5
copa,period,14,0.516
copa,period,15,0.488
copa,period,16,0.484
copa,period,17,0.592
copa,period,18,0.54
copa,period,19,0.536
copa,period,20,0.524
copa,period,21,0.504
copa,period,22,0.484
copa,period,23,0.488
copa,period,24,0.48
copa,period,25,0.48
copa,period,26,0.508
copa,period,27,0.488
copa,period,28,0.508
copa,period,29,0.488
ent_bank,answer,0,0.984
ent_bank,answer,1,0.984
ent_bank,answer,2,0.978
ent_bank,answer,3,0.984
ent_bank,answer,4,0.984
ent_bank,answer,5,0.984
ent_bank,answer,6,0.984
ent_bank,answer,7,0.984
ent_bank,answer,8,0.984
ent_bank,answer,9,0.984
ent_bank,answer,10,0.982
ent_bank,answer,11,0.98
ent_bank,answer,12,0.982
ent_bank,answer,13,0.982
ent_bank,answer,14,0.98
ent_bank,answer,15,0.978
ent_bank,answer,16,0.978
ent_bank,answer,17,0.982
ent_bank,answer,18,0.984
ent_bank,answer,19,0.98
ent_bank,answer,20,0.982
ent_bank,answer,21,0.982
ent_bank,answer,22,0.984
ent_bank,answer,23,0.984
ent_bank,answer,24,0.982
ent_bank,answer,25,0.982
ent_bank,answer,26,0.984
ent_bank,answer,27,0.984
ent_bank,answer,28,0.982
ent_bank,answer,29,0.98
ent_bank,period,0,0.982
ent_bank,period,1,0.502
ent_bank,period,2,0.982
ent_bank,period,3,0.984
ent_bank,period,4,0.982
ent_bank,period,5,0.982
ent_bank,period,6,0.978
ent_bank,period,7,0.982
ent_bank,period,8,0.986
ent_bank,period,9,0.986
ent_bank,period,10,0.986
ent_bank,period,11,0.982
ent_bank,period,12,0.984
ent_bank,period,13,0.982
ent_bank,period,14,0.982
ent_bank,period,15,0.982
ent_bank,period,16,0.984
ent_bank,period,17,0.982
ent_bank,period,18,0.982
ent_bank,period,19,0.982
ent_bank,period,20,0.982
ent_bank,period,21,0.982
ent_bank,period,22,0.982
ent_bank,period,23,0.982
ent_bank,period,24,0.984
ent_bank,period,25,0.982
ent_bank,period,26,0.982
ent_bank,period,27,0.984
ent_bank,period,28,0.986
ent_bank,period,29,0.982
imdb,answer,0,0.946
imdb,answer,1,0.942
imdb,answer,2,0.938
imdb,answer,3,0.944
imdb,answer,4,0.938
imdb,answer,5,0.942
imdb,answer,6,0.56
imdb,answer,7,0.942
imdb,answer,8,0.944
imdb,answer,9,0.942
imdb,answer,10,0.94
imdb,answer,11,0.518
imdb,answer,12,0.942
imdb,answer,13,0.944
imdb,answer,14,0.944
imdb,answer,15,0.944
imdb,answer,16,0.942
imdb,answer,17,0.94
imdb,answer,18,0.948
imdb,answer,19,0.942
imdb,answer,20,0.944
imdb,answer,21,0.944
imdb,answer,22,0.514
imdb,answer,23,0.546
imdb,answer,24,0.944
imdb,answer,25,0.942
imdb,answer,26,0.56
imdb,answer,27,0.94
imdb,answer,28,0.942
imdb,answer,29,0.942
imdb,period,0,0.928
imdb,period,1,0.94
imdb,period,2,0.932
imdb,period,3,0.92
imdb,period,4,0.932
imdb,period,5,0.93
imdb,period,6,0.928
imdb,period,7,0.938
imdb,period,8,0.942
imdb,period,9,0.934
imdb,period,10,0.928
imdb,period,11,0.928
imdb,period,12,0.936
imdb,period,13,0.936
imdb,period,14,0.93
imdb,period,15,0.936
imdb,period,16,0.936
imdb,period,17,0.938
imdb,period,18,0.926
imdb,period,19,0.938
imdb,period,20,0.918
imdb,period,21,0.932
imdb,period,22,0.934
imdb,period,23,0.93
imdb,period,24,0.936
imdb,period,25,0.926
imdb,period,26,0.932
imdb,period,27,0.936
imdb,period,28,0.932
imdb,period,29,0.916
rte,answer,0,0.524
rte,answer,1,0.608
rte,answer,2,0.582
rte,answer,3,0.58
rte,answer,4,0.566
rte,answer,5,0.604
rte,answer,6,0.582
rte,answer,7,0.582
rte,answer,8,0.616
rte,answer,9,0.618
rte,answer,10,0.618
rte,answer,11,0.588
rte,answer,12,0.578
rte,answer,13,0.58
rte,answer,14,0.616
rte,answer,15,0.616
rte,answer,16,0.592
rte,answer,17,0.636
rte,answer,18,0.618
rte,answer,19,0.622
rte,answer,20,0.58
rte,answer,21,0.632
rte,answer,22,0.58
rte,answer,23,0.598
rte,answer,24,0.614
rte,answer,25,0.592
rte,answer,26,0.58
rte,answer,27,0.59
rte,answer,28,0.578
rte,answer,29,0.628
rte,period,0,0.55
rte,period,1,0.56
rte,period,2,0.542
rte,period,3,0.596
rte,period,4,0.552
rte,period,5,0.478
rte,period,6,0.584
rte,period,7,0.564
rte,period,8,0.536
rte,period,9,0.624
rte,period,10,0.55
rte,period,11,0.514
rte,period,12,0.602
rte,period,13,0.536
rte,period,14,0.548
rte,period,15,0.592
rte,period,16,0.556
rte,period,17,0.602
rte,period,18,0.552
rte,period,19,0.578
rte,period,20,0.612
rte,period,21,0.548
rte,period,22,0.572
rte,period,23,0.582
rte,period,24,0.562
rte,period,25,0.56
rte,period,26,0.556
rte,period,27,0.55
rte,period,28,0.652
rte,period,29,0.59
snli,answer,0,0.928
snli,answer,1,0.932
snli,answer,2,0.93
snli,answer,3,0.922
snli,answer,4,0.926
snli,answer,5,0.93
snli,answer,6,0.924
snli,answer,7,0.924
snli,answer,8,0.932
snli,answer,9,0.92
snli,answer,10,0.924
snli,answer,11,0.928
snli,answer,12,0.928
snli,answer,13,0.93
snli,answer,14,0.928
snli,answer,15,0.92
snli,answer,16,0.93
snli,answer,17,0.928
snli,answer,18,0.928
snli,answer,19,0.932
snli,answer,20,0.93
snli,answer,21,0.926
snli,answer,22,0.93
snli,answer,23,0.922
snli,answer,24,0.93
snli,answer,25,0.924
snli,answer,26,0.93
snli,answer,27,0.93
snli,answer,28,0.924
snli,answer,29,0.926
snli,period,0,0.932
snli,period,1,0.948
snli,period,2,0.888
snli,period,3,0.936
snli,period,4,0.94
snli,period,5,0.93
snli,period,6,0.936
snli,period,7,0.93
snli,period,8,0.944
snli,period,9,0.926
snli,period,10,0.934
snli,period,11,0.92
snli,period,12,0.918
snli,period,13,0.938
snli,period,14,0.938
snli,period,15,0.932
snli,period,16,0.924
snli,period,17,0.838
snli,period,18,0.616
snli,period,19,0.932
snli,period,20,0.932
snli,period,21,0.938
snli,period,22,0.95
snli,period,23,0.94
snli,period,24,0.93
snli,period,25,0.554
snli,period,26,0.928
snli,period,27,0.938
snli,period,28,0.758
snli,period,29,0.86
sp_en_trans,answer,0,1.0
sp_en_trans,answer,1,1.0
sp_en_trans,answer,2,1.0
