dataset,position,ccs_sd,ccs_range,ccs_max,gap,participation
amazon,answer,0.0008137703743822258,0.0040000000000000036,0.954,12.361881706353751,1.593822027973238
amazon,period,0.001231079020841298,0.0040000000000000036,0.952,7.410826066793496,1.941336721090577
cities,answer,0.0,0.0,1.0,6.832734355743026,2.2995460595096775
cities,period,0.0,0.0,0.998,4.234182358537346,2.641971201106051
comparisons,answer,0.0,0.0,1.0,10.342476324752667,1.8869626883990638
comparisons,period,0.0,0.0,1.0,8.74450222338672,1.938525865653982
copa,answer,0.07855178051592608,0.268,0.832,1.4170122775631298,8.013669981253177
copa,period,0.024234410796771355,0.11199999999999999,0.592,1.8807164340833142,7.096849159427542
ent_bank,answer,0.001982142499642453,0.006000000000000005,0.984,3.891454122438671,3.6489090777986233
ent_bank,period,0.08631490150734243,0.484,0.986,3.0620852334346367,3.743677655959958
imdb,answer,0.1503793721078644,0.43399999999999994,0.948,2.0500404029229173,4.296230619714489
imdb,period,0.006096993794759295,0.025999999999999912,0.942,2.9324978932789127,4.201090147369722
rte,answer,0.023455773987087574,0.11199999999999999,0.636,2.0748980988194536,5.234517891722871
rte,period,0.033311993168960774,0.17400000000000004,0.652,2.3102498976338306,6.23745990717835
snli,answer,0.003448671241700691,0.01200000000000001,0.932,2.8129730148319956,3.835449945946511
snli,period,0.09219023809493065,0.3959999999999999,0.95,1.9772196539326725,5.723757631264
sp_en_trans,answer,0.0,0.0,1.0,6.920392603169931,2.61456544732398
sp_en_trans,period,0.0,0.0,1.0,4.7867431995300045,2.6409909928029833
