model,method,dataset,position,layer,seed,K,lambda_k,max_overlap
llama3_8b,CCS,amazon,answer,15,0,1,0.05615729760135714,0.05615729760135714
llama3_8b,CCS,amazon,answer,15,0,2,0.6000187028721851,0.5973849694481207
llama3_8b,CCS,amazon,answer,15,0,4,0.621284868036629,0.5973849694481207
llama3_8b,CCS,amazon,answer,15,0,8,0.6275289725232212,0.5973849694481207
llama3_8b,CCS,amazon,answer,15,0,16,0.6449890396377368,0.5973849694481207
llama3_8b,CCS,amazon,answer,15,0,32,0.6780940865475084,0.5973849694481207
llama3_8b,CCS,amazon,answer,15,0,64,0.7171760041135282,0.5973849694481207
llama3_8b,CCS,amazon,answer,15,0,128,0.7530163320791442,0.5973849694481207
llama3_8b,CCS,amazon,answer,15,1,1,0.05570002038822491,0.05570002038822491
llama3_8b,CCS,amazon,answer,15,1,2,0.586606970129097,0.5839565438735923
llama3_8b,CCS,amazon,answer,15,1,4,0.6057495253435405,0.5839565438735923
llama3_8b,CCS,amazon,answer,15,1,8,0.6134908223530352,0.5839565438735923
llama3_8b,CCS,amazon,answer,15,1,16,0.6281774435406307,0.5839565438735923
llama3_8b,CCS,amazon,answer,15,1,32,0.662095744153527,0.5839565438735923
llama3_8b,CCS,amazon,answer,15,1,64,0.7041106329115586,0.5839565438735923
llama3_8b,CCS,amazon,answer,15,1,128,0.7374289585052235,0.5839565438735923
llama3_8b,CCS,amazon,answer,15,2,1,0.05526865239241226,0.05526865239241226
llama3_8b,CCS,amazon,answer,15,2,2,0.5911753576284935,0.5885861700124323
llama3_8b,CCS,amazon,answer,15,2,4,0.6101941768681729,0.5885861700124323
llama3_8b,CCS,amazon,answer,15,2,8,0.6177501401524901,0.5885861700124323
llama3_8b,CCS,amazon,answer,15,2,16,0.6329038539496602,0.5885861700124323
llama3_8b,CCS,amazon,answer,15,2,32,0.6655554944285027,0.5885861700124323
llama3_8b,CCS,amazon,answer,15,2,64,0.7069409318674715,0.5885861700124323
llama3_8b,CCS,amazon,answer,15,2,128,0.7416056429134876,0.5885861700124323
llama3_8b,CCS,amazon,answer,15,3,1,0.0646863792565555,0.0646863792565555
llama3_8b,CCS,amazon,answer,15,3,2,0.6418715544256421,0.6386037619051951
llama3_8b,CCS,amazon,answer,15,3,4,0.663099211905726,0.6386037619051951
llama3_8b,CCS,amazon,answer,15,3,8,0.6743765532707829,0.6386037619051951
llama3_8b,CCS,amazon,answer,15,3,16,0.7012641332856635,0.6386037619051951
llama3_8b,CCS,amazon,answer,15,3,32,0.7357468329773746,0.6386037619051951
llama3_8b,CCS,amazon,answer,15,3,64,0.7696430797659992,0.6386037619051951
llama3_8b,CCS,amazon,answer,15,3,128,0.8052436730281368,0.6386037619051951
llama3_8b,CCS,amazon,answer,15,4,1,0.0554897732246834,0.0554897732246834
