dataset,split,pair_id,base_id,counterfactual_id
comparisons,train,comparisons_776_b0_4500,comparisons_776_b0,comparisons_776_b1
comparisons,train,comparisons_1387_b0_4501,comparisons_1387_b0,comparisons_1387_b1
comparisons,train,comparisons_1011_b0_4502,comparisons_1011_b0,comparisons_1011_b1
comparisons,train,comparisons_1531_b0_4503,comparisons_1531_b0,comparisons_1531_b1
comparisons,train,comparisons_1323_b0_4504,comparisons_1323_b0,comparisons_1323_b1
comparisons,train,comparisons_1269_b0_4505,comparisons_1269_b0,comparisons_1269_b1
comparisons,train,comparisons_409_b0_4506,comparisons_409_b0,comparisons_409_b1
comparisons,train,comparisons_353_b0_4507,comparisons_353_b0,comparisons_353_b1
comparisons,train,comparisons_1270_b0_4508,comparisons_1270_b0,comparisons_1270_b1
comparisons,train,comparisons_1662_b0_4509,comparisons_1662_b0,comparisons_1662_b1
comparisons,train,comparisons_897_b0_4510,comparisons_897_b0,comparisons_897_b1
comparisons,train,comparisons_1900_b0_4511,comparisons_1900_b0,comparisons_1900_b1
comparisons,train,comparisons_590_b0_4512,comparisons_590_b0,comparisons_590_b1
comparisons,train,comparisons_1966_b0_4513,comparisons_1966_b0,comparisons_1966_b1
comparisons,train,comparisons_382_b0_4514,comparisons_382_b0,comparisons_382_b1
comparisons,train,comparisons_381_b0_4515,comparisons_381_b0,comparisons_381_b1
comparisons,train,comparisons_1551_b0_4516,comparisons_1551_b0,comparisons_1551_b1
comparisons,train,comparisons_1758_b0_4517,comparisons_1758_b0,comparisons_1758_b1
comparisons,train,comparisons_365_b0_4518,comparisons_365_b0,comparisons_365_b1
comparisons,train,comparisons_1135_b0_4519,comparisons_1135_b0,comparisons_1135_b1
comparisons,train,comparisons_135_b0_4520,comparisons_135_b0,comparisons_135_b1
comparisons,train,comparisons_614_b0_4521,comparisons_614_b0,comparisons_614_b1
comparisons,train,comparisons_1329_b0_4522,comparisons_1329_b0,comparisons_1329_b1
comparisons,train,comparisons_41_b0_4523,comparisons_41_b0,comparisons_41_b1
comparisons,train,comparisons_497_b0_4524,comparisons_497_b0,comparisons_497_b1
comparisons,train,comparisons_193_b0_4525,comparisons_193_b0,comparisons_193_b1
comparisons,train,comparisons_1000_b0_4526,comparisons_1000_b0,comparisons_1000_b1
comparisons,train,comparisons_1589_b0_4527,comparisons_1589_b0,comparisons_1589_b1
comparisons,train,comparisons_1496_b0_4528,comparisons_1496_b0,comparisons_1496_b1
comparisons,train,comparisons_1353_b0_4529,comparisons_1353_b0,comparisons_1353_b1
comparisons,train,comparisons_1312_b0_4530,comparisons_1312_b0,comparisons_1312_b1
comparisons,train,comparisons_265_b0_4531,comparisons_265_b0,comparisons_265_b1
comparisons,train,comparisons_1013_b0_4532,comparisons_1013_b0,comparisons_1013_b1
comparisons,train,comparisons_1950_b0_4533,comparisons_1950_b0,comparisons_1950_b1
comparisons,train,comparisons_1478_b0_4534,comparisons_1478_b0,comparisons_1478_b1
comparisons,train,comparisons_1168_b0_4535,comparisons_1168_b0,comparisons_1168_b1
comparisons,train,comparisons_1905_b0_4536,comparisons_1905_b0,comparisons_1905_b1
comparisons,train,comparisons_570_b0_4537,comparisons_570_b0,comparisons_570_b1
comparisons,train,comparisons_357_b0_4538,comparisons_357_b0,comparisons_357_b1
comparisons,train,comparisons_593_b0_4539,comparisons_593_b0,comparisons_593_b1
comparisons,train,comparisons_1354_b0_4540,comparisons_1354_b0,comparisons_1354_b1
comparisons,train,comparisons_807_b0_4541,comparisons_807_b0,comparisons_807_b1
comparisons,train,comparisons_1116_b0_4542,comparisons_1116_b0,comparisons_1116_b1
comparisons,train,comparisons_72_b0_4543,comparisons_72_b0,comparisons_72_b1
comparisons,train,comparisons_1345_b0_4544,comparisons_1345_b0,comparisons_1345_b1
comparisons,train,comparisons_1134_b0_4545,comparisons_1134_b0,comparisons_1134_b1
comparisons,train,comparisons_1660_b0_4546,comparisons_1660_b0,comparisons_1660_b1
comparisons,train,comparisons_977_b0_4547,comparisons_977_b0,comparisons_977_b1
comparisons,train,comparisons_1243_b0_4548,comparisons_1243_b0,comparisons_1243_b1
comparisons,train,comparisons_1766_b0_4549,comparisons_1766_b0,comparisons_1766_b1
comparisons,train,comparisons_978_b0_4550,comparisons_978_b0,comparisons_978_b1
comparisons,train,comparisons_450_b0_4551,comparisons_450_b0,comparisons_450_b1
comparisons,train,comparisons_1505_b0_4552,comparisons_1505_b0,comparisons_1505_b1
comparisons,train,comparisons_1655_b0_4553,comparisons_1655_b0,comparisons_1655_b1
comparisons,train,comparisons_1898_b0_4554,comparisons_1898_b0,comparisons_1898_b1
comparisons,train,comparisons_1599_b0_4555,comparisons_1599_b0,comparisons_1599_b1
comparisons,train,comparisons_1395_b0_4556,comparisons_1395_b0,comparisons_1395_b1
comparisons,train,comparisons_433_b0_4557,comparisons_433_b0,comparisons_433_b1
comparisons,train,comparisons_1762_b0_4558,comparisons_1762_b0,comparisons_1762_b1
comparisons,train,comparisons_1647_b0_4559,comparisons_1647_b0,comparisons_1647_b1
comparisons,train,comparisons_799_b0_4560,comparisons_799_b0,comparisons_799_b1
comparisons,train,comparisons_1859_b0_4561,comparisons_1859_b0,comparisons_1859_b1
comparisons,train,comparisons_597_b0_4562,comparisons_597_b0,comparisons_597_b1
comparisons,train,comparisons_1137_b0_4563,comparisons_1137_b0,comparisons_1137_b1
comparisons,train,comparisons_830_b0_4564,comparisons_830_b0,comparisons_830_b1
comparisons,train,comparisons_672_b0_4565,comparisons_672_b0,comparisons_672_b1
comparisons,train,comparisons_1940_b0_4566,comparisons_1940_b0,comparisons_1940_b1
comparisons,train,comparisons_1082_b0_4567,comparisons_1082_b0,comparisons_1082_b1
comparisons,train,comparisons_419_b0_4568,comparisons_419_b0,comparisons_419_b1
comparisons,train,comparisons_1705_b0_4569,comparisons_1705_b0,comparisons_1705_b1
comparisons,train,comparisons_285_b0_4570,comparisons_285_b0,comparisons_285_b1
comparisons,train,comparisons_213_b0_4571,comparisons_213_b0,comparisons_213_b1
comparisons,train,comparisons_1473_b0_4572,comparisons_1473_b0,comparisons_1473_b1
comparisons,train,comparisons_1640_b0_4573,comparisons_1640_b0,comparisons_1640_b1
comparisons,train,comparisons_335_b0_4574,comparisons_335_b0,comparisons_335_b1
comparisons,train,comparisons_651_b0_4575,comparisons_651_b0,comparisons_651_b1
comparisons,train,comparisons_1844_b0_4576,comparisons_1844_b0,comparisons_1844_b1
comparisons,train,comparisons_1674_b0_4577,comparisons_1674_b0,comparisons_1674_b1
comparisons,train,comparisons_1073_b0_4578,comparisons_1073_b0,comparisons_1073_b1
comparisons,train,comparisons_868_b0_4579,comparisons_868_b0,comparisons_868_b1
comparisons,train,comparisons_1858_b0_4580,comparisons_1858_b0,comparisons_1858_b1
comparisons,train,comparisons_1577_b0_4581,comparisons_1577_b0,comparisons_1577_b1
comparisons,train,comparisons_68_b0_4582,comparisons_68_b0,comparisons_68_b1
comparisons,train,comparisons_98_b0_4583,comparisons_98_b0,comparisons_98_b1
comparisons,train,comparisons_1877_b0_4584,comparisons_1877_b0,comparisons_1877_b1
comparisons,train,comparisons_1020_b0_4585,comparisons_1020_b0,comparisons_1020_b1
comparisons,train,comparisons_1215_b0_4586,comparisons_1215_b0,comparisons_1215_b1
comparisons,train,comparisons_1050_b0_4587,comparisons_1050_b0,comparisons_1050_b1
comparisons,train,comparisons_986_b0_4588,comparisons_986_b0,comparisons_986_b1
comparisons,train,comparisons_657_b0_4589,comparisons_657_b0,comparisons_657_b1
comparisons,train,comparisons_1494_b0_4590,comparisons_1494_b0,comparisons_1494_b1
comparisons,train,comparisons_1519_b0_4591,comparisons_1519_b0,comparisons_1519_b1
comparisons,train,comparisons_1903_b0_4592,comparisons_1903_b0,comparisons_1903_b1
comparisons,train,comparisons_1166_b0_4593,comparisons_1166_b0,comparisons_1166_b1
comparisons,train,comparisons_1565_b0_4594,comparisons_1565_b0,comparisons_1565_b1
comparisons,train,comparisons_1795_b0_4595,comparisons_1795_b0,comparisons_1795_b1
comparisons,train,comparisons_906_b0_4596,comparisons_906_b0,comparisons_906_b1
comparisons,train,comparisons_326_b0_4597,comparisons_326_b0,comparisons_326_b1
comparisons,train,comparisons_1600_b0_4598,comparisons_1600_b0,comparisons_1600_b1
comparisons,train,comparisons_855_b0_4599,comparisons_855_b0,comparisons_855_b1
comparisons,train,comparisons_635_b0_4600,comparisons_635_b0,comparisons_635_b1
comparisons,train,comparisons_1918_b0_4601,comparisons_1918_b0,comparisons_1918_b1
comparisons,train,comparisons_1007_b0_4602,comparisons_1007_b0,comparisons_1007_b1
comparisons,train,comparisons_874_b0_4603,comparisons_874_b0,comparisons_874_b1
comparisons,train,comparisons_1403_b0_4604,comparisons_1403_b0,comparisons_1403_b1
comparisons,train,comparisons_1932_b0_4605,comparisons_1932_b0,comparisons_1932_b1
comparisons,train,comparisons_1029_b0_4606,comparisons_1029_b0,comparisons_1029_b1
comparisons,train,comparisons_12_b0_4607,comparisons_12_b0,comparisons_12_b1
comparisons,train,comparisons_847_b0_4608,comparisons_847_b0,comparisons_847_b1
comparisons,train,comparisons_1764_b0_4609,comparisons_1764_b0,comparisons_1764_b1
comparisons,train,comparisons_1909_b0_4610,comparisons_1909_b0,comparisons_1909_b1
comparisons,train,comparisons_1425_b0_4611,comparisons_1425_b0,comparisons_1425_b1
comparisons,train,comparisons_1389_b0_4612,comparisons_1389_b0,comparisons_1389_b1
comparisons,train,comparisons_843_b0_4613,comparisons_843_b0,comparisons_843_b1
comparisons,train,comparisons_20_b0_4614,comparisons_20_b0,comparisons_20_b1
comparisons,train,comparisons_91_b0_4615,comparisons_91_b0,comparisons_91_b1
comparisons,train,comparisons_297_b0_4616,comparisons_297_b0,comparisons_297_b1
comparisons,train,comparisons_761_b0_4617,comparisons_761_b0,comparisons_761_b1
comparisons,train,comparisons_734_b0_4618,comparisons_734_b0,comparisons_734_b1
comparisons,train,comparisons_513_b0_4619,comparisons_513_b0,comparisons_513_b1
comparisons,train,comparisons_1787_b0_4620,comparisons_1787_b0,comparisons_1787_b1
comparisons,train,comparisons_1300_b0_4621,comparisons_1300_b0,comparisons_1300_b1
comparisons,train,comparisons_1210_b0_4622,comparisons_1210_b0,comparisons_1210_b1
comparisons,train,comparisons_612_b0_4623,comparisons_612_b0,comparisons_612_b1
comparisons,train,comparisons_1151_b0_4624,comparisons_1151_b0,comparisons_1151_b1
comparisons,train,comparisons_405_b0_4625,comparisons_405_b0,comparisons_405_b1
comparisons,train,comparisons_1141_b0_4626,comparisons_1141_b0,comparisons_1141_b1
comparisons,train,comparisons_443_b0_4627,comparisons_443_b0,comparisons_443_b1
comparisons,train,comparisons_1142_b0_4628,comparisons_1142_b0,comparisons_1142_b1
comparisons,train,comparisons_1301_b0_4629,comparisons_1301_b0,comparisons_1301_b1
comparisons,train,comparisons_912_b0_4630,comparisons_912_b0,comparisons_912_b1
comparisons,train,comparisons_1929_b0_4631,comparisons_1929_b0,comparisons_1929_b1
comparisons,train,comparisons_1177_b0_4632,comparisons_1177_b0,comparisons_1177_b1
