dataset,token,PC1,PC2,PC3,PC4,PC5
comparisons,answer,100,58,55,43,54
sp_en_trans,answer,100,49,43,60,47
cities,answer,100,49,63,52,45
amazon,answer,95,52,46,56,52
imdb,answer,71,84,49,60,54
ent_bank,answer,97,57,51,50,50
snli,answer,92,50,60,62,56
copa,answer,72,64,50,56,54
rte,answer,60,54,63,48,62
comparisons,period,100,55,48,56,44
sp_en_trans,period,100,52,47,47,49
cities,period,100,53,52,49,52
amazon,period,95,48,45,54,46
imdb,period,75,79,57,53,60
ent_bank,period,98,54,50,47,60
snli,period,91,59,56,51,51
copa,period,50,64,48,60,51
rte,period,56,62,54,68,55
